episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
0,1.0,-1.9160317081586746,-5.158874570889623,-155.31182835040232,-10.0,0.5,0,1.0,False,True,-0.5997670649678639,398,60.05723639247675,1603640708.4332387,in_progress
0,2.0,-1.9192081564794725,-5.160216634213049,-155.33702820465055,-10.0,0.5,0,1.0,False,True,-0.5940280739442585,398,60.05723639247675,1603640708.4740283,in_progress
0,3.0,-1.9284263360073413,-5.163848652000374,-155.4766330285089,-10.0,0.5,0,1.0,False,True,-0.5775559070279002,398,60.05723639247675,1603640708.5741966,in_progress
0,4.0,-1.9650920830811802,-5.177602062830821,-156.16633895901464,-10.0,0.5,0,1.0,False,True,-0.512518885197764,398,60.05723639247675,1603640708.679054,in_progress
0,5.0,-2.010392726663837,-5.192519160243578,-157.2192283246154,-10.0,0.5,0,1.0,False,True,-0.4336079799362267,398,60.05723639247675,1603640708.7735264,in_progress
0,6.0,-2.059744514244977,-5.209212644399523,-158.0736561479856,10.0,0.5,4,1.0,False,True,-0.34733274896639443,399,60.05723639247675,1603640708.8843725,in_progress
0,7.0,-2.112538148583574,-5.226195770468931,-158.97248794897564,10.0,0.5,4,1.0,False,True,-0.25564853346865846,399,60.05723639247675,1603640708.9803298,in_progress
0,8.0,-2.1559061890679656,-5.241275954507116,-159.31465652770228,10.0,0.5,4,1.0,False,True,-0.17954778024395068,399,60.05723639247675,1603640709.0871944,in_progress
0,9.0,-2.2070578609114513,-5.261326301939446,-159.10380711633297,10.0,0.5,4,1.0,False,True,-0.08821573691500362,400,60.05723639247675,1603640709.1831782,in_progress
0,10.0,-2.254699188900338,-5.2828209255131835,-158.36986524897966,-10.0,0.5,0,1.0,False,True,-0.0011910926695009039,400,60.05723639247675,1603640709.2915466,in_progress
0,11.0,-2.3068698688577745,-5.307827565350688,-157.43728216052685,10.0,1.0,5,1.0,False,True,0.0951274958485696,0,60.05723639247675,1603640709.3884938,in_progress
0,12.0,-2.367980559538054,-5.336239153160841,-156.82296461824424,-10.0,0.5,0,1.0,False,True,0.20733995453655563,1,60.05723639247675,1603640709.492463,in_progress
0,13.0,-2.425031822566449,-5.363167724280107,-156.11006310824723,-10.0,0.5,0,1.0,False,True,0.3123788876446408,1,60.05723639247675,1603640709.5864031,in_progress
0,14.0,-2.471456363390456,-5.386847807752786,-155.414441078111,-10.0,0.5,0,1.0,False,True,0.39908167158565394,2,60.05723639247675,1603640709.7014585,in_progress
0,15.0,-2.5250080763834504,-5.40754154541435,-156.2146960435169,-10.0,0.5,0,1.0,False,True,0.4944921904012211,2,60.05723639247675,1603640709.7907007,in_progress
0,16.0,-2.5765987074021126,-5.426142797381204,-157.04670906008963,-10.0,0.5,0,1.0,False,True,0.5854800728012686,2,60.05723639247675,1603640709.8934472,in_progress
0,17.0,-2.6273231001254818,-5.442517234151536,-158.12135324416906,-10.0,0.5,0,1.0,False,True,0.6736100871872788,3,60.05723639247675,1603640709.995887,in_progress
0,18.0,-2.6740072184800674,-5.455775279729083,-159.23234291920846,-10.0,0.5,0,1.0,False,True,0.7534595995467009,3,60.05723639247675,1603640710.0922358,in_progress
0,19.0,-2.7254124103647417,-5.467993961849439,-160.80456653677462,-10.0,0.5,0,1.0,False,True,0.8397305196266419,3,60.05723639247675,1603640710.1988118,in_progress
0,20.0,-2.777056595918059,-5.476905737222459,-162.67767128547555,-10.0,0.5,0,1.0,False,True,0.9240641381133067,4,60.05723639247675,1603640710.2999184,in_progress
0,21.0,-2.8292296343657584,-5.4852376081468845,-164.3792824914042,-10.0,0.5,0,1.0,False,True,1.0087936241906243,4,60.05723639247675,1603640710.3890948,in_progress
0,22.0,-2.8860297421021244,-5.491411224752134,-166.49095066884973,10.0,1.0,5,1.0,False,True,1.0990244532173514,4,60.05723639247675,1603640710.4907928,in_progress
0,23.0,-2.9501840159535213,-5.4992436656067305,-168.22317209848626,10.0,1.0,5,0.5,False,True,1.2015353929944812,5,60.05723639247675,1603640710.599482,in_progress
0,24.0,-3.027931160974173,-5.5089254416591205,-169.69914565182748,10.0,1.0,5,0.5,False,True,1.3258927904573448,5,60.05723639247675,1603640710.7030635,in_progress
0,25.0,-3.1298840870488553,-5.5293605015174006,-169.31321123277758,10.0,0.5,4,0.5,False,True,1.4943537582552282,6,60.05723639247675,1603640710.797243,in_progress
0,26.0,-3.2017876763009085,-5.546471087111825,-168.52830983185584,10.0,0.5,4,0.5,False,True,1.6150328626497896,6,60.05723639247675,1603640710.902528,in_progress
0,27.0,-3.276591355699821,-5.5701282097466125,-166.4891538941513,10.0,0.5,4,0.5,False,True,1.7446569786001311,7,60.05723639247675,1603640711.0015562,in_progress
0,28.0,-3.33187710551596,-5.59247823855025,-164.42529043694273,10.0,0.5,4,0.5,False,True,1.8438341121900639,7,60.05723639247675,1603640711.0989091,in_progress
0,29.0,-3.3895739377964818,-5.619147520783904,-162.08129648137702,10.0,0.5,4,0.5,False,True,1.9496701794463807,8,60.05723639247675,1603640711.2056987,in_progress
0,30.0,-3.4414406023364292,-5.644956175230306,-160.14713611778953,10.0,0.5,4,0.5,False,True,2.0460782287471537,8,60.05723639247675,1603640711.3038223,in_progress
0,31.0,-3.4833079714406825,-5.669912306977744,-157.98245795206225,10.0,1.0,5,0.5,False,True,2.126774026389893,8,60.05723639247675,1603640711.40688,in_progress
0,32.0,-3.5471542684132613,-5.71130397886827,-154.73187988439432,10.0,1.0,5,0.5,False,True,2.2521508891946542,9,60.05723639247675,1603640711.5101511,in_progress
