Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,877.0,18.0,28.0,877.0,0.0,13.304999999999994,0.0,0.0,62.68222618103027,,,,,,,,,,,,,,,,,,,,,3.668622587047955,4.235797301849057,13.215494061624284,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,916.0,19.0,39.0,916.0,0.0,18.809000000000022,0.0,0.0,65.76584100723267,,,,,,,,,,,,,,,,,,,,,5.105938810357317,5.952735383788001,18.628496883279347,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,941.0,20.0,25.0,941.0,0.0,12.005999999999995,0.0,0.0,67.8149025440216,,,,,,,,,,,,,,,,,,,,,3.331147307331501,3.879906537269386,11.934655973290004,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,34.0,1.0,34.0,975.0,0.0,14.406999999999993,0.0,0.0,135.64847540855408,,,,,,,,,,,,,,,,,,,,,3.7688897353877193,4.402032230079067,14.293150899896716,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,87.0,2.0,53.0,1028.0,0.0,19.010000000000034,0.0,0.0,140.11278676986694,,,,,,,,,,,,,,,,,,,,,5.0694825226946865,5.541661296208877,18.760077503800986,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,144.0,3.0,57.0,1085.0,0.0,29.80800000000003,0.0,0.0,144.3722846508026,,,,,,,,,,,,,,,,,,,,,8.754941125813971,9.271814942487469,29.338306662491092,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,181.0,4.0,37.0,1122.0,0.0,15.808999999999992,0.0,0.0,147.15252685546875,,,,,,,,,,,,,,,,,,,,,4.09235896233038,4.848123548081885,15.673255974368148,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,204.0,5.0,23.0,1145.0,0.0,9.506999999999994,0.0,0.0,149.08334255218506,,,,,,,,,,,,,,,,,,,,,2.34587540207934,3.0173742219938,9.462507373125302,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,238.0,6.0,34.0,1179.0,0.0,16.207000000000008,0.0,0.0,151.72252368927002,,,,,,,,,,,,,,,,,,,,,4.5308480398813415,5.088521299334956,16.069020186830873,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,265.0,7.0,27.0,1206.0,0.0,11.305999999999994,0.0,0.0,154.05089783668518,,,,,,,,,,,,,,,,,,,,,2.863143277771897,3.5164769741949637,11.239935066566728,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
