episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
140,1.0,5.550587868199336,-3.4842659064189987,179.58719715787598,0.0,1.0,3,5.001,False,True,0.2345538822698937,1,59.91521155245181,1603639162.126795,in_progress
140,2.0,5.5450412558349145,-3.4853456461177346,179.8364624656046,0.0,0.5,2,5.001,False,True,0.24379526588182956,1,59.91521155245181,1603639162.1823747,in_progress
140,3.0,5.53415806038914,-3.487191089311779,-179.67505988706765,-10.0,0.5,0,5.001,False,True,0.2619320559768076,1,59.91521155245181,1603639162.23687,in_progress
140,4.0,5.511489250500764,-3.489107689291253,-179.2893216803274,-10.0,0.5,0,5.001,False,True,0.29973755712218464,1,59.91521155245181,1603639162.336111,in_progress
140,5.0,5.464640269375075,-3.491497646652166,-178.91772094194332,0.0,0.5,2,5.001,False,True,0.3778919564440389,2,59.91521155245181,1603639162.4416826,in_progress
140,6.0,5.409699886273406,-3.4971718494136286,-177.84135835942993,10.0,1.0,5,5.001,False,True,0.4695028262050177,2,59.91521155245181,1603639162.5361435,in_progress
140,7.0,5.34083819664411,-3.507061468904486,-176.1775754819212,0.0,0.5,2,5.001,False,True,0.5842860189709117,2,59.91521155245181,1603639162.6426709,in_progress
140,8.0,5.270199157519866,-3.5186768942114592,-174.56702557238313,0.0,0.5,2,5.001,False,True,0.7020106866995202,3,59.91521155245181,1603639162.7450728,in_progress
140,9.0,5.2176832656678895,-3.5277169817904026,-173.63269058420946,-10.0,0.5,0,5.001,False,True,0.7895256547437826,3,59.91521155245181,1603639162.850698,in_progress
140,10.0,5.168204210920874,-3.53411275576592,-173.4433704626382,10.0,0.5,4,5.001,False,True,0.8720110904021022,3,59.91521155245181,1603639162.9512715,in_progress
140,11.0,5.113991557081403,-3.5435842334876684,-172.6776532433746,-10.0,0.5,0,5.001,False,True,0.962351898236459,4,59.91521155245181,1603639163.062166,in_progress
140,12.0,5.060251044301279,-3.55249382453135,-172.2797037762188,0.0,1.0,3,5.001,False,True,1.0519111752452277,4,59.91521155245181,1603639163.1536474,in_progress
140,13.0,5.000095507452343,-3.5608013580964193,-172.36076018543937,10.0,1.0,5,5.001,False,True,1.1521871783736977,5,59.91521155245181,1603639163.2632194,in_progress
140,14.0,4.914316809314909,-3.5805407299248087,-170.5672297296197,-10.0,0.5,0,5.001,False,True,1.295059166042833,5,59.91521155245181,1603639163.3527493,in_progress
140,15.0,4.842889401567326,-3.598040847781178,-169.25423809983388,0.0,0.5,2,5.001,False,True,1.414013086362166,6,59.91521155245181,1603639163.463194,in_progress
140,16.0,4.788456528826888,-3.612038086482978,-168.42341493873573,10.0,0.5,4,5.001,False,True,1.504652632527893,6,59.91521155245181,1603639163.5525885,in_progress
140,17.0,4.7229102720607665,-3.6361869340240607,-165.98531833274984,10.0,0.5,4,5.001,False,True,1.6136935810686177,6,59.91521155245181,1603639163.656973,in_progress
140,18.0,4.6743547445063145,-3.6571228008597068,-164.01763681451735,-10.0,0.5,0,5.001,False,True,1.6944246566003518,7,59.91521155245181,1603639163.7526133,in_progress
140,19.0,4.631345335271664,-3.674029464416779,-163.02382175248832,-10.0,0.5,0,5.001,False,True,1.7659547566814218,7,59.91521155245181,1603639163.8609245,in_progress
140,20.0,4.580536878111974,-3.691958324144397,-162.44083804649213,0.0,1.0,3,5.001,False,True,1.8504895265290238,7,59.91521155245181,1603639163.9566424,in_progress
140,21.0,4.4665504150806985,-3.735258371820678,-161.08386533843884,-10.0,1.0,1,5.001,False,True,2.0400926380105213,8,59.91521155245181,1603639164.0968454,in_progress
140,22.0,4.426673908927044,-3.7493886399943546,-161.04046695100598,-10.0,1.0,1,5.001,False,True,2.106437941186211,8,59.91521155245181,1603639164.1556876,in_progress
140,23.0,4.363147765959663,-3.7681633724227566,-161.70961039584716,10.0,0.5,4,5.001,False,True,2.2121855164560515,9,59.91521155245181,1603639164.2634993,in_progress
140,24.0,4.2825137216586695,-3.7955336600480747,-161.5325252936294,-10.0,0.5,0,5.001,False,True,2.346356134921942,9,59.91521155245181,1603639164.3610995,in_progress
140,25.0,4.214168390988418,-3.815195192398656,-162.2107530282363,0.0,0.5,2,5.001,False,True,2.460133537300361,10,59.91521155245181,1603639164.4641364,in_progress
140,26.0,4.154316084222142,-3.8313120540856125,-162.86849540899416,-10.0,0.5,0,5.001,False,True,2.5598164936802075,10,59.91521155245181,1603639164.5543861,in_progress
140,27.0,4.109421616481492,-3.842068866882301,-163.60099298636797,-10.0,1.0,1,5.001,False,True,2.6345867573007546,11,59.91521155245181,1603639164.665802,in_progress
