episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
80,1.0,5.550173620517038,-3.483609076573537,179.3747496593502,-10.0,0.5,0,5.001,False,True,0.23525479714683206,1,59.91521155245181,1603638442.0989265,in_progress
80,2.0,5.547752698362103,-3.483714342709994,179.43758025111438,10.0,1.0,5,5.001,False,True,0.2392936932267829,1,59.91521155245181,1603638442.1627445,in_progress
80,3.0,5.5338084773869864,-3.4828971412753016,179.3182726064531,0.0,1.0,3,5.001,False,True,0.26257795402535006,1,59.91521155245181,1603638442.2265563,in_progress
80,4.0,5.503603210794283,-3.478052866461299,178.2247751679148,10.0,1.0,5,5.001,False,True,0.31305985379179474,1,59.91521155245181,1603638442.327454,in_progress
80,5.0,5.4408196705867,-3.4694218881501704,176.63708701884067,10.0,1.0,5,5.001,False,True,0.4179687286811923,2,59.91521155245181,1603638442.4286153,in_progress
80,6.0,5.364165411603115,-3.460855899120724,175.7482119237119,10.0,1.0,5,5.001,False,True,0.5460267869656014,2,59.91521155245181,1603638442.540469,in_progress
80,7.0,5.258632399156901,-3.4540534826697393,175.9424594828616,10.0,0.5,4,5.001,False,True,0.7222564195338762,3,59.91521155245181,1603638442.6357517,in_progress
80,8.0,5.177874353172528,-3.4493713380566113,176.20928207309998,-10.0,0.5,0,5.001,False,True,0.8571069516373437,3,59.91521155245181,1603638442.7293499,in_progress
80,9.0,5.106648197810661,-3.44755140655968,176.84959050691305,-10.0,1.0,1,5.001,False,True,0.9760071928208887,4,59.91521155245181,1603638442.8334897,in_progress
80,10.0,5.027084099426109,-3.4412836983795043,176.35421881676353,0.0,0.5,2,5.001,False,True,1.1088888716073633,4,59.91521155245181,1603638442.9334216,in_progress
80,11.0,4.941159293490103,-3.435175712349094,176.24212164536547,10.0,0.5,4,5.001,False,True,1.2523832149825653,5,59.91521155245181,1603638443.0392528,in_progress
80,12.0,4.864287301895219,-3.4372015442592696,177.89295893395126,0.0,1.0,3,5.001,False,True,1.3806505159443971,6,59.91521155245181,1603638443.1340206,in_progress
80,13.0,4.807809770855786,-3.439593279071375,178.88468255243384,10.0,0.5,4,5.001,False,True,1.4748743886059739,6,59.91521155245181,1603638443.2346687,in_progress
80,14.0,4.722133323026913,-3.4490988258514097,-178.60758496623362,10.0,1.0,5,5.001,False,True,1.6177266774792562,6,59.91521155245181,1603638443.33496,in_progress
80,15.0,4.647322988409913,-3.461320679683004,-176.2859298432498,-10.0,0.5,0,5.001,False,True,1.7424034592719568,7,59.91521155245181,1603638443.4442577,in_progress
80,16.0,4.553446364079221,-3.4778625252797775,-174.11257364946255,-10.0,1.0,1,5.001,False,True,1.8988379065540566,8,59.91521155245181,1603638443.5337257,in_progress
80,17.0,4.467240422051507,-3.485357831723382,-174.4480755531648,0.0,1.0,3,5.001,False,True,2.0426024224756234,8,59.91521155245181,1603638443.6395426,in_progress
80,18.0,4.382284885020729,-3.494332740558903,-174.2971398290401,10.0,0.5,4,5.001,False,True,2.184258399695029,9,59.91521155245181,1603638443.7308412,in_progress
80,19.0,4.288787544934537,-3.5100843536232693,-172.93692034560158,0.0,0.5,2,5.001,False,True,2.3400706297090785,9,59.91521155245181,1603638443.8407192,in_progress
80,20.0,4.181698097938258,-3.529744065458987,-171.5677252028417,0.0,1.0,3,5.001,False,True,2.5185149781592844,10,59.91521155245181,1603638443.9349804,in_progress
80,21.0,4.15468342401682,-3.5338835656841185,-171.57641971718655,10.0,1.0,5,5.001,False,True,2.5635410596238204,10,59.91521155245181,1603638444.0525973,in_progress
