episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
0,1.0,5.551183108023065,-3.4841768696936155,179.5250716626574,-10.0,0.5,0,5.001,False,True,0.2335617444176861,1,59.91521155245181,1603638000.3569837,in_progress
0,2.0,5.530489562898547,-3.4824834521841175,179.12450029587683,0.0,0.5,2,5.001,False,True,0.26812311298524694,1,59.91521155245181,1603638000.4116101,in_progress
0,3.0,5.5070051751212,-3.481427952109068,178.9544762141815,-10.0,1.0,1,5.001,False,True,0.30733301301079863,1,59.91521155245181,1603638000.4854524,in_progress
0,4.0,5.47924432979933,-3.478975107334379,178.47881011466612,10.0,0.5,4,5.001,False,True,0.3537004825296133,1,59.91521155245181,1603638000.5879123,in_progress
0,5.0,5.414093659521774,-3.47394185127732,177.7255758994007,10.0,1.0,5,5.001,False,True,0.46250767675921806,2,59.91521155245181,1603638000.7002542,in_progress
0,6.0,5.3267066415256705,-3.47045467870999,177.69862343149643,-10.0,0.5,0,5.001,False,True,0.6084042301108152,2,59.91521155245181,1603638000.7881238,in_progress
0,7.0,5.277952247726294,-3.4672093397576607,177.40101626962746,-10.0,0.5,0,5.001,False,True,0.6898207142322061,3,59.91521155245181,1603638000.8981893,in_progress
0,8.0,5.214708589493834,-3.4634958163440848,177.20473279790724,0.0,1.0,3,5.001,False,True,0.7954261858323484,3,59.91521155245181,1603638000.9954057,in_progress
0,9.0,5.1545263288779575,-3.459930686156566,177.00427018409053,-10.0,1.0,1,5.001,False,True,0.8959200238751633,4,59.91521155245181,1603638001.0873566,in_progress
0,10.0,5.0634514395935835,-3.448548740970779,175.56311342382804,10.0,1.0,5,5.001,False,True,1.048087136048614,4,59.91521155245181,1603638001.2090507,in_progress
0,11.0,4.961210845936536,-3.437613709426043,174.94236447669425,-10.0,1.0,1,5.001,False,True,1.2188823602308532,5,59.91521155245181,1603638001.2963006,in_progress
0,12.0,4.857677213562378,-3.423728879146001,173.908973273952,-10.0,1.0,1,5.001,False,True,1.3918793193441428,6,59.91521155245181,1603638001.4074318,in_progress
0,13.0,4.745375638497229,-3.406096842122259,172.71889338735159,-10.0,0.5,0,5.001,False,True,1.579565114071316,6,59.91521155245181,1603638001.5180578,in_progress
0,14.0,4.6679080232519405,-3.387649935157712,170.86127316257202,-10.0,0.5,0,5.001,False,True,1.7091253631478558,7,59.91521155245181,1603638001.6266236,in_progress
0,15.0,4.5956932253299705,-3.3662897523896986,168.6992235316279,10.0,0.5,4,5.001,False,True,1.829963493396009,7,59.91521155245181,1603638001.7307034,in_progress
0,16.0,4.544036144742515,-3.3535778723737053,168.1646131153632,10.0,1.0,5,5.001,False,True,1.9163633071226576,8,59.91521155245181,1603638001.832956,in_progress
0,17.0,4.473651937004182,-3.340301791706648,168.47278087237652,0.0,0.5,2,5.001,False,True,2.034027120696363,8,59.91521155245181,1603638001.944434,in_progress
0,18.0,4.391640026760296,-3.3239603037610963,168.60158369434436,0.0,1.0,3,5.001,False,True,2.171141219103629,9,59.91521155245181,1603638002.0487964,in_progress
0,19.0,4.304550439495595,-3.306267784034923,168.57691020765256,-10.0,1.0,1,5.001,False,True,2.3167513363253955,9,59.91521155245181,1603638002.142049,in_progress
0,20.0,4.221208696757445,-3.2860347605382314,167.77977222318785,-10.0,1.0,1,5.001,False,True,2.456142097372534,10,59.91521155245181,1603638002.2467632,in_progress
0,21.0,4.129372975834504,-3.25789183113145,166.04841016124325,-10.0,1.0,1,5.001,False,True,2.609808235898623,10,59.91521155245181,1603638002.3587341,in_progress
0,22.0,4.029667506534793,-3.2229531395041024,163.94982859491526,0.0,1.0,3,5.001,False,True,2.7767023575964873,11,59.91521155245181,1603638002.4494083,in_progress
0,23.0,3.946326053679518,-3.1912618188258803,162.38664934956373,10.0,0.5,4,5.001,False,True,2.916255715472782,12,59.91521155245181,1603638002.5504086,in_progress
0,24.0,3.84924363114842,-3.1609233526753924,162.49337868014527,10.0,1.0,5,5.001,False,True,3.078691569743278,12,59.91521155245181,1603638002.650567,in_progress
0,25.0,3.7820668099395283,-3.1422546543007783,163.04218712827787,10.0,1.0,5,5.001,False,True,3.191076078791541,13,59.91521155245181,1603638002.7599921,in_progress
0,26.0,3.683393201995915,-3.1166305408446,163.9163803491848,10.0,0.5,4,5.001,False,True,3.3560947595073323,13,59.91521155245181,1603638002.8559968,in_progress
0,27.0,3.5692771041396436,-3.0951769423461415,166.18244707708072,10.0,1.0,5,5.001,False,True,3.5468258478204215,14,59.91521155245181,1603638002.9584422,in_progress
0,28.0,3.485733922501571,-3.0826315388547405,167.8247428078609,0.0,0.5,2,5.001,False,True,3.686434903940816,15,59.91521155245181,1603638003.06837,in_progress
0,29.0,3.4006418016166604,-3.071137302013739,169.2832872940146,-10.0,1.0,1,5.001,False,True,3.8285775917566522,15,59.91521155245181,1603638003.1609864,in_progress
0,30.0,3.321470231273392,-3.0596680740225497,169.91493331014811,10.0,0.5,4,5.001,False,True,3.960874275394598,16,59.91521155245181,1603638003.2649703,in_progress
0,31.0,3.240820965517874,-3.051769658947707,171.3704236881947,10.0,1.0,5,5.001,False,True,4.095551786169838,16,59.91521155245181,1603638003.3557107,in_progress
0,32.0,3.1610586959428084,-3.0477119191467676,173.1409575437634,10.0,1.0,5,5.001,False,True,4.228729308230266,17,59.91521155245181,1603638003.466388,in_progress
0,33.0,3.08386612648526,-3.049991660388595,175.68490177169514,-10.0,1.0,1,5.001,False,True,4.3574902694230175,17,59.91521155245181,1603638003.5599918,in_progress
